K,theta,lane,improvement_pct
100,-2.0,אלעזר המודעי-כובשי קטמון,0.03819835005502211
100,-2.0,הפלמ״ח,0.019712896130533154
100,-2.0,בזק-בייט,0.04694151205052411
100,-2.0,ירמיהו-בר אילן-לוי אשכול,0.20522605206789318
100,-2.0,גולדה-שמואל הנביא,0.062388833521506676
100,-2.0,שטראוס-יחזקאל,0.0
100,-2.0,בגין (גבעת רם),0.044893296800822206
100,-2.0,גולומב,0.009346395359370702
100,-2.0,קוליץ,0.0024073688180183974
100,-2.0,פייר קניג,0.03925611427780413
100,-2.0,שמגר-אוהל יהושוע-שפע חיים,0.10579028255026511
100,-2.0,בצלאל-רבין,0.0
100,-3.0,האר״י-מטודלה,2.0232296304149896e-05
100,-3.0,אגרון-רמב״ן‎,7.979220186115233e-05
100,-3.0,קרן היסוד-קינג ג׳ורג׳,0.0
100,-3.0,דרך חברון,0.0
100,-3.0,ז׳בוטינסקי,3.09656314975755e-05
100,-3.0,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,8.114308927796161e-06
100,-3.0,הרצל‎,0.00010964107914666836
100,-3.0,בן זכאי-יהודה הנשיא,4.940046375314554e-05
100,-3.0,רחל אמנו-חזקיהו המלך-דוסטאי,2.4781228645011404e-05
100,-3.0,בר לב,0.00012004521356223331
100,-3.0,צבי יהודה,5.938157757882902e-05
100,-3.0,הברון הירש-אליעזר הלוי,3.534559857940127e-05
100,-3.0,אלעזר המודעי-כובשי קטמון,3.569616692824371e-05
100,-3.0,הפלמ״ח,1.8801067270356e-05
100,-3.0,בזק-בייט,2.946897250845725e-05
100,-3.0,ירמיהו-בר אילן-לוי אשכול,0.0001418727896058238
100,-3.0,גולדה-שמואל הנביא,4.153718522882427e-05
100,-3.0,שטראוס-יחזקאל,0.0
100,-3.0,בגין (גבעת רם),3.202937914870966e-05
100,-3.0,גולומב,6.053799514584145e-06
100,-3.0,קוליץ,1.7897813613645035e-06
100,-3.0,פייר קניג,3.646831415997904e-05
100,-3.0,שמגר-אוהל יהושוע-שפע חיים,0.00010841067217932365
100,-3.0,בצלאל-רבין,0.0
200,-0.5,האר״י-מטודלה,0.1597194398742297
200,-0.5,אגרון-רמב״ן‎,0.6185120502548219
200,-0.5,קרן היסוד-קינג ג׳ורג׳,0.0
200,-0.5,דרך חברון,0.0
200,-0.5,ז׳בוטינסקי,0.22516076962178885
200,-0.5,ג׳ורג׳ אדם סמית׳ - לח״י‎‎,0.15100289830404043
200,-0.5,הרצל‎,1.7488441853844454
200,-0.5,בן זכאי-יהודה הנשיא,0.8209416497175575
200,-0.5,רחל אמנו-חזקיהו המלך-דוסטאי,0.292254034327309
200,-0.5,בר לב,4.100295300885141
200,-0.5,צבי יהודה,0.42339876894746087
